MSAID,BETA,FLUX_BETA,PIVOT_BETA,REDSHIFT,A,SIGMA,FLUX_LA,EW_LA
1747_732,-1.8410895560197122,166660477088.04376,2000.0,8.226,-266245098274.55405,10.0,-3315585863957.6104,-16.013704279026832
1747_732,-1.8795646205839764,170568619778.0909,2000.0,8.226,-144450846207.00275,10.0,-1798865732456.6677,-8.328109718210715
1747_732,-1.9089250360478556,168528639806.05786,2000.0,8.226,-188377130039.84402,10.0,-2345885627569.1475,-10.832607430715239
1747_732,-1.9304798711427775,167604054360.8711,2000.0,8.226,-205314003358.24695,10.0,-2556802779163.9126,-11.745000274194233
1747_732,-1.8934264215911738,168957379427.07568,2000.0,8.226,-112389569787.01022,10.0,-1399602363600.4072,-6.496475009101228
1747_732,-1.8914724384925963,169126304814.95923,2000.0,8.226,-183586780245.97797,10.0,-2286230760069.6675,-10.611617135585105
1747_732,-1.9317951137044398,167599187862.75647,2000.0,8.226,-198661254270.9724,10.0,-2473955203853.894,-11.357321618783297
1747_732,-1.9007492034466458,171063548142.97818,2000.0,8.226,-210109846113.23505,10.0,-2616526051243.855,-11.951842670386608
1747_732,-1.8970752378562772,168303847471.17615,2000.0,8.226,-193588019273.88928,10.0,-2410777529035.1904,-11.213071300214537
1747_732,-1.908437781495438,166866990852.21765,2000.0,8.226,-153642845470.97498,10.0,-1913334930269.6807,-8.925360838403822
1747_732,-1.9084422601635607,168694963377.92575,2000.0,8.226,-152473195498.40204,10.0,-1898769122523.4587,-8.76141583443935
1747_732,-1.8953977433470277,168568288396.74982,2000.0,8.226,-177990423628.04178,10.0,-2216538581650.815,-10.302047326248362
1747_732,-1.9154320975761459,166643442849.31815,2000.0,8.226,-91531889054.47656,10.0,-1139858872208.8167,-5.3058637147000836
1747_902,-1.7383487411469862,107349976693.85323,2000.0,7.905,-269089961920.62598,10.0,-3351013564721.706,-26.445299266104378
1747_902,-1.7483316035915786,106193777339.61479,2000.0,7.905,-132530670591.50064,10.0,-1650422303841.9524,-13.101233796831565
1747_902,-1.762982025966131,105540136288.93947,2000.0,7.905,-322523002469.3168,10.0,-4016422420574.1733,-31.847168355163504
1747_902,-1.830529996572369,105816686889.7349,2000.0,7.905,-260038584006.59894,10.0,-3238295535580.678,-24.763335982061186
1747_902,-1.8051707539739692,106532392987.88132,2000.0,7.905,-248798614736.3154,10.0,-3098322683293.8833,-23.832732665766933
1747_902,-1.742202536415997,108337318186.93636,2000.0,7.905,-328761334085.5034,10.0,-4094109205015.5796,-31.95379844713073
1747_902,-1.7523063051607903,106073599893.06383,2000.0,7.905,-192204373440.9625,10.0,-2393546968465.0933,-18.984168789326525
1747_902,-1.6702860853655601,107647811110.49352,2000.0,7.905,-167634682344.82016,10.0,-2087577293652.4705,-16.995162687507293
1747_902,-1.7552109267177185,107386668355.10155,2000.0,7.905,-296478408826.863,10.0,-3692085585559.602,-28.88353987706094
1747_902,-1.6568180920199744,105190806567.8879,2000.0,7.905,-221961095187.10953,10.0,-2764111435089.0894,-23.183405948019463
1747_902,-1.6999962711750205,107251191707.62814,2000.0,7.905,-205404011460.34067,10.0,-2557923839815.6484,-20.594474562178284
1747_902,-1.6823322525869828,105062373995.65054,2000.0,7.905,-324855676405.77856,10.0,-4045471523511.2134,-33.543298470388805
1747_902,-1.8595312242802544,105144080700.8375,2000.0,7.905,-317394128699.4073,10.0,-3952551864229.2227,-29.982665801055422
1747_902,-1.6669503624703779,105906111245.93697,2000.0,7.905,-38168475426.72384,10.0,-475317168974.98584,-3.9397762868050648
1747_902,-1.8278158883413034,105482700351.77008,2000.0,7.905,-160002112324.00793,10.0,-1992527870437.7368,-15.305824075848655
1747_902,-1.7939845536728725,105179768186.62619,2000.0,7.905,-417412826293.3386,10.0,-5198098186250.429,-40.72483523681405
1747_902,-1.7834894363567892,108957435499.9515,2000.0,7.905,-322198987636.89636,10.0,-4012387420194.1445,-30.504355311617832
1747_902,-1.7603789935719476,106468467724.78224,2000.0,7.905,-150551570502.3967,10.0,-1874838999354.8003,-14.755528967234739
1747_902,-1.8161667027749924,104962903141.34778,2000.0,7.905,-333124723528.132,10.0,-4148447081858.138,-32.21080212339791
1747_902,-1.5819788023312285,106462523499.08961,2000.0,7.905,-104124910282.49374,10.0,-1296681542082.161,-11.15359607836729
1747_902,-1.7784347721034508,104933651754.05179,2000.0,7.905,-219143038358.59726,10.0,-2729017793575.673,-21.597333994264055
1747_902,-1.7990189674143442,103632496054.70828,2000.0,7.905,-192213408678.73633,10.0,-2393659485498.893,-18.98563628985375
1747_902,-1.7295702470644776,107090332933.7925,2000.0,7.905,-224881009398.59424,10.0,-2800473520321.37,-22.251186515944013
1747_902,-1.6710938280464278,105896722211.74957,2000.0,7.905,-157503452565.50208,10.0,-1961411723686.6099,-16.2255563327219
1747_902,-1.685969547399161,104791203427.2362,2000.0,7.905,-216516413931.7465,10.0,-2696308085562.1035,-22.373926428789083
1747_902,-1.7361709577846773,106509213052.14146,2000.0,7.905,-193700929973.14932,10.0,-2412183788671.751,-19.207385897920645
1747_902,-1.7855669892069124,104870898181.2492,2000.0,7.905,-254243880518.95648,10.0,-3166133312017.847,-24.982791010316276
1747_902,-1.724759814962406,106433135612.90756,2000.0,7.905,-311802889105.0041,10.0,-3882923403952.504,-31.116722695420833
1747_902,-1.747583253382917,107470842333.30283,2000.0,7.905,-309212390455.87317,10.0,-3850663575118.043,-30.215019748847304
1747_902,-1.8071363678528314,106184322898.86836,2000.0,7.905,-285217522357.5759,10.0,-3551852248574.32,-27.384098514367768
1747_902,-1.7437501352741414,104883930057.36699,2000.0,7.905,-233551771250.22916,10.0,-2908451686336.611,-23.429309786413242
1747_902,-1.7347751284540913,105373508008.04877,2000.0,7.905,-275024848531.8063,10.0,-3424921507616.346,-27.58455456050315
1747_902,-1.7138206718850992,106543912008.48549,2000.0,7.905,-332103854737.52783,10.0,-4135734065212.335,-33.28899289141264
1747_902,-1.75623850399334,105748927170.9864,2000.0,7.905,-125799242544.46458,10.0,-1566594923085.848,-12.439062002080988
1747_902,-1.7817159327195486,104549934069.48784,2000.0,7.905,-205129188386.8618,10.0,-2554501431039.9624,-20.25730376992651
1747_902,-1.7691198682890275,106151935076.60309,2000.0,7.905,-174413019091.73407,10.0,-2171988834770.6782,-17.07072254442292
1747_902,-1.8096952672515019,107134655443.78065,2000.0,7.905,-311272902266.1965,10.0,-3876323406415.2783,-29.582904612868617
1747_902,-1.6554784295291238,109168157727.08876,2000.0,7.905,-149590012135.97446,10.0,-1862864583415.4087,-15.065182278250713
1747_902,-1.8096115877046655,108492341028.54619,2000.0,7.905,-354238696727.065,10.0,-4411382235922.582,-33.24638929192857
1747_902,-1.679072863687019,107201547558.38303,2000.0,7.905,-166944343235.64374,10.0,-2078980407679.4792,-16.921458108379447
1747_902,-1.7152986735270805,104841535707.92105,2000.0,7.905,-35324965473.73505,10.0,-439906556271.7989,-3.5957065292595143
1747_902,-1.7531851887264138,106033392753.64581,2000.0,7.905,-225154896784.31323,10.0,-2803884276851.266,-22.23741869642317
1747_902,-1.7908711122035417,106071033663.78009,2000.0,7.905,-396241976612.505,10.0,-4934454741690.859,-38.39392285411307
1747_902,-1.6879249611864362,104613698846.20117,2000.0,7.905,-210892270721.7812,10.0,-2626269872125.921,-21.808489828199207
1747_902,-1.7210508885541318,104769642393.73117,2000.0,7.905,-309847379934.36615,10.0,-3858571184679.908,-31.47057861053014
1747_902,-1.7039375765474334,107640987116.02615,2000.0,7.905,-317768409649.1126,10.0,-3957212835342.851,-31.682901189265976
1747_902,-1.741707546281811,105435626753.99132,2000.0,7.905,-255785555309.80856,10.0,-3185331995980.8657,-25.55144557441818
1747_902,-1.7288276524970205,105865644546.69225,2000.0,7.905,-187672151621.1917,10.0,-2337106599274.1406,-18.791263426166694
1747_902,-1.7176769051041423,106020081084.8262,2000.0,7.905,-255799473095.4197,10.0,-3185505316040.971,-25.717767000381393
1747_902,-1.6924633158375797,105941522729.06424,2000.0,7.905,-131959892313.72975,10.0,-1643314325017.2986,-13.444607592777391
1747_902,-1.6891974645788852,107825591610.59247,2000.0,7.905,-164980587908.63348,10.0,-2054525497910.1326,-16.542052547660685
1747_902,-1.70811869987425,108323780600.64417,2000.0,7.905,-283491673857.5348,10.0,-3530360024587.1665,-28.028801188936207
1747_902,-1.6493925927123363,108792838010.76021,2000.0,7.905,-217777188421.50607,10.0,-2712008680214.852,-22.07473476384726
1747_902,-1.7257455896198572,107866672023.79552,2000.0,7.905,-189755077941.50116,10.0,-2363045561485.342,-18.675988396162005
1747_902,-1.729181904027098,107265256724.83398,2000.0,7.905,-174795616311.99298,10.0,-2176753369522.4087,-17.270546185586362
1747_902,-1.6695419976146322,104730852329.6833,2000.0,7.905,-198990585970.3427,10.0,-2478056587763.8813,-20.743660863915046
1747_902,-1.9119332809262963,103969573510.88777,2000.0,7.905,-191997356783.72882,10.0,-2390968962130.104,-17.869698735774747
